student_id,gender,age,parental_education,study_time,attendance_rate,previous_grades,extracurricular_activities,internet_access,tutoring,family_support,health,absences,failures,final_grade,pass_fail_status,performance_category
STU_1056,Female,17,Bachelor,7.4,74.6,73.3,No,Yes,Yes,Yes,Poor,11,0,76.4,Pass,Good
STU_1057,Female,16,High School,12.6,95.0,80.9,Yes,Yes,Yes,No,Good,6,0,83.3,Pass,Good
STU_1058,Female,17,High School,15.3,88.8,72.3,No,Yes,No,No,Excellent,5,0,71.9,Pass,Good
STU_1059,Female,17,Master/Doctorate,7.1,94.9,75.6,No,Yes,No,No,Fair,4,0,78.0,Pass,Good
STU_1060,Female,17,High School,15.0,71.5,75.4,No,Yes,No,Yes,Fair,12,1,69.0,Pass,Satisfactory
STU_1061,Female,17,Some College,12.8,81.1,68.9,Yes,Yes,Yes,No,Good,7,0,71.6,Pass,Good
STU_1062,Male,19,Some College,5.8,84.4,66.5,Yes,No,No,Yes,Good,6,0,65.3,Pass,Satisfactory
STU_1063,Female,17,None,4.8,96.9,83.1,Yes,Yes,Yes,Yes,Good,1,0,87.0,Pass,Excellent
STU_1064,Female,21,Bachelor,4.6,92.8,76.1,Yes,Yes,No,Yes,Good,4,0,72.1,Pass,Good
STU_1065,Male,18,None,4.0,80.0,61.1,No,Yes,Yes,Yes,Excellent,9,0,59.1,Fail,Satisfactory
STU_1066,Female,16,Some College,14.3,84.1,84.9,Yes,Yes,No,Yes,Good,8,0,84.1,Pass,Good
STU_1067,Male,19,Some College,7.1,87.4,76.2,Yes,Yes,Yes,Yes,Fair,4,0,83.9,Pass,Good
STU_1068,Female,16,Some College,18.0,87.2,90.9,No,No,No,Yes,Excellent,6,0,88.3,Pass,Excellent
STU_1069,Male,18,Bachelor,5.4,77.8,78.6,No,Yes,No,No,Fair,8,0,67.9,Pass,Satisfactory
STU_1070,Male,17,High School,6.0,82.6,66.8,Yes,Yes,No,Yes,Fair,7,1,54.6,Fail,At Risk
STU_1071,Female,18,None,10.4,88.1,78.5,No,Yes,No,Yes,Fair,5,0,83.5,Pass,Good
STU_1072,Female,18,Bachelor,17.5,85.0,86.4,Yes,Yes,No,Yes,Good,5,1,77.2,Pass,Good
STU_1073,Male,18,Some College,5.8,80.8,65.9,Yes,No,No,Yes,Fair,9,0,65.0,Pass,Satisfactory
STU_1074,Male,18,Bachelor,12.0,81.0,80.1,Yes,Yes,No,Yes,Fair,9,0,73.5,Pass,Good
STU_1075,Male,16,Bachelor,7.9,75.4,67.2,No,No,Yes,Yes,Good,10,0,66.3,Pass,Satisfactory
STU_1076,Male,15,Bachelor,10.5,78.8,76.9,No,Yes,No,Yes,Fair,7,0,73.6,Pass,Good
STU_1077,Female,17,Some College,5.0,75.1,72.3,Yes,Yes,No,Yes,Good,11,0,60.7,Pass,Satisfactory
STU_1078,Female,16,High School,11.4,83.9,69.2,Yes,Yes,Yes,Yes,Excellent,6,2,68.6,Pass,Satisfactory
STU_1079,Female,17,Bachelor,6.8,70.6,68.2,Yes,Yes,No,No,Excellent,11,1,63.2,Pass,Satisfactory
STU_1080,Male,16,Some College,6.1,95.8,81.3,Yes,Yes,Yes,Yes,Fair,1,0,80.6,Pass,Good
STU_1081,Male,20,High School,7.8,69.2,63.8,Yes,Yes,Yes,Yes,Fair,11,2,53.7,Fail,At Risk
STU_1082,Female,17,Bachelor,10.8,84.0,77.1,Yes,Yes,Yes,No,Excellent,8,1,78.4,Pass,Good
STU_1083,Female,18,Master/Doctorate,7.2,88.6,79.9,No,Yes,Yes,Yes,Poor,5,0,81.6,Pass,Good
STU_1084,Female,16,Some College,6.2,89.1,70.3,No,Yes,No,Yes,Excellent,8,0,76.1,Pass,Good
STU_1085,Female,18,None,7.4,69.9,60.7,Yes,Yes,No,No,Fair,12,1,52.0,Fail,At Risk
STU_1086,Male,19,High School,7.3,79.4,59.9,Yes,No,No,Yes,Excellent,9,1,57.9,Fail,Satisfactory
STU_1087,Male,17,Bachelor,10.4,59.2,63.4,Yes,Yes,No,Yes,Good,15,2,49.8,Fail,At Risk
STU_1088,Male,17,Master/Doctorate,6.4,75.5,82.9,Yes,Yes,Yes,Yes,Good,10,0,77.9,Pass,Good
STU_1089,Female,18,High School,6.3,85.5,70.9,No,Yes,No,Yes,Good,6,0,72.2,Pass,Good
STU_1090,Female,16,None,5.0,83.1,65.5,No,Yes,No,Yes,Good,6,1,63.0,Pass,Satisfactory
STU_1091,Male,17,Bachelor,10.7,80.6,67.3,Yes,Yes,No,Yes,Good,8,1,71.6,Pass,Good
STU_1092,Male,17,High School,8.5,89.4,76.8,Yes,Yes,No,Yes,Good,4,0,76.5,Pass,Good
STU_1093,Male,16,Some College,14.5,72.3,68.0,No,Yes,No,Yes,Good,11,2,65.0,Pass,Satisfactory
STU_1094,Male,17,Master/Doctorate,13.5,88.1,85.6,Yes,No,No,Yes,Poor,4,0,88.3,Pass,Excellent
STU_1095,Female,15,None,9.0,59.9,51.9,No,Yes,No,Yes,Poor,16,1,44.5,Fail,At Risk
STU_1096,Male,15,Some College,7.5,94.0,80.4,Yes,Yes,Yes,Yes,Good,2,0,76.6,Pass,Good
STU_1097,Female,16,None,8.0,71.8,61.3,No,Yes,Yes,Yes,Fair,12,1,55.9,Fail,Satisfactory
STU_1098,Female,20,High School,5.6,98.4,80.0,Yes,Yes,No,Yes,Good,1,0,74.3,Pass,Good
STU_1099,Female,17,Bachelor,5.0,89.1,70.3,No,Yes,No,No,Fair,5,0,74.2,Pass,Good
STU_1100,Female,20,Some College,4.6,84.2,65.8,No,Yes,No,Yes,Good,9,0,68.2,Pass,Satisfactory
STU_1101,Male,17,Master/Doctorate,7.2,87.0,74.8,Yes,Yes,No,Yes,Fair,7,0,71.7,Pass,Good
STU_1102,Female,16,Some College,1.4,84.3,68.7,No,Yes,No,Yes,Good,8,1,64.9,Pass,Satisfactory
STU_1103,Female,17,High School,17.2,76.5,75.5,No,Yes,Yes,Yes,Fair,10,0,73.3,Pass,Good
STU_1104,Male,17,High School,19.8,62.4,59.8,Yes,Yes,No,No,Poor,15,2,59.3,Fail,Satisfactory
STU_1105,Female,16,High School,4.3,83.8,66.7,Yes,Yes,No,Yes,Poor,8,1,59.9,Fail,Satisfactory
STU_1106,Female,17,High School,19.6,87.6,87.1,Yes,Yes,Yes,No,Excellent,6,0,90.3,Pass,Excellent
STU_1107,Male,16,None,4.4,65.7,48.0,Yes,No,No,Yes,Fair,13,2,43.5,Fail,At Risk
STU_1108,Female,17,High School,8.0,89.5,73.5,Yes,No,No,No,Good,7,0,73.7,Pass,Good
STU_1109,Female,17,Some College,9.8,90.9,76.2,No,Yes,No,Yes,Poor,6,0,75.6,Pass,Good
STU_1110,Female,16,Bachelor,8.4,88.0,72.3,Yes,Yes,No,No,Fair,6,0,76.1,Pass,Good
STU_1111,Female,15,Bachelor,5.8,74.6,73.4,No,Yes,Yes,Yes,Good,11,1,64.4,Pass,Satisfactory
STU_1112,Male,18,Bachelor,5.7,71.7,65.3,Yes,Yes,No,Yes,Good,11,0,57.1,Fail,Satisfactory
STU_1113,Male,17,None,12.1,86.0,74.0,Yes,Yes,No,Yes,Excellent,6,0,76.4,Pass,Good
STU_1114,Male,15,High School,14.7,75.5,67.7,Yes,Yes,No,Yes,Excellent,10,1,60.3,Pass,Satisfactory
STU_1115,Male,21,Bachelor,2.6,83.9,65.5,Yes,Yes,Yes,No,Excellent,9,1,65.7,Pass,Satisfactory
STU_1116,Male,15,Some College,9.1,90.4,75.3,Yes,Yes,No,Yes,Good,5,0,75.8,Pass,Good
STU_1117,Female,17,None,10.9,66.9,61.5,Yes,Yes,Yes,Yes,Good,12,1,57.5,Fail,Satisfactory
STU_1118,Male,20,Bachelor,8.8,59.7,58.5,Yes,No,Yes,No,Good,16,0,56.2,Fail,Satisfactory
STU_1119,Male,16,Bachelor,3.4,90.9,77.5,No,Yes,No,Yes,Excellent,3,0,74.1,Pass,Good
STU_1120,Male,16,Some College,10.4,80.5,67.0,No,Yes,Yes,No,Good,7,0,70.7,Pass,Good
STU_1121,Male,16,None,13.7,93.6,78.1,Yes,Yes,No,No,Good,3,0,79.0,Pass,Good
STU_1122,Female,16,Bachelor,4.9,85.9,78.7,No,Yes,Yes,Yes,Fair,5,0,75.0,Pass,Good
STU_1123,Female,16,Some College,5.8,77.4,61.5,No,Yes,No,No,Poor,10,1,59.6,Fail,Satisfactory
STU_1124,Female,17,Bachelor,8.8,78.9,87.4,Yes,Yes,Yes,Yes,Excellent,8,0,86.1,Pass,Excellent
STU_1125,Female,15,Bachelor,7.6,79.6,68.7,No,No,Yes,Yes,Good,12,0,71.2,Pass,Good
STU_1126,Male,17,Bachelor,5.8,70.2,70.6,No,Yes,Yes,Yes,Good,11,0,67.3,Pass,Satisfactory
STU_1127,Male,21,Some College,3.9,82.2,66.5,Yes,Yes,No,Yes,Fair,10,0,66.8,Pass,Satisfactory
STU_1128,Female,18,High School,6.1,59.3,49.3,Yes,Yes,No,No,Excellent,15,1,46.0,Fail,At Risk
STU_1129,Female,17,Bachelor,1.9,91.8,77.1,Yes,Yes,Yes,No,Poor,6,0,69.7,Pass,Satisfactory
STU_1130,Female,16,Some College,11.0,94.4,79.6,Yes,Yes,No,Yes,Excellent,5,0,80.4,Pass,Good
STU_1131,Female,17,Bachelor,5.3,86.3,75.7,No,No,No,Yes,Fair,7,0,79.6,Pass,Good
STU_1132,Female,17,High School,11.9,85.9,65.7,Yes,No,No,No,Excellent,7,0,71.3,Pass,Good
STU_1133,Female,17,High School,7.0,69.4,56.8,No,Yes,Yes,Yes,Good,14,1,57.2,Fail,Satisfactory
STU_1134,Male,16,Master/Doctorate,8.6,82.4,75.7,No,Yes,No,Yes,Fair,8,0,73.0,Pass,Good
STU_1135,Female,19,Bachelor,2.9,86.4,70.7,No,Yes,Yes,Yes,Good,8,0,71.2,Pass,Good
STU_1136,Female,17,Master/Doctorate,11.4,81.9,68.3,No,Yes,No,No,Good,6,0,71.8,Pass,Good
STU_1137,Male,16,Bachelor,25.8,88.7,92.7,Yes,No,No,Yes,Fair,6,0,95.8,Pass,Excellent
STU_1138,Female,17,Some College,6.4,87.6,75.1,Yes,Yes,No,No,Excellent,7,1,67.3,Pass,Satisfactory
STU_1139,Male,17,Bachelor,8.5,96.0,81.6,No,Yes,Yes,No,Good,1,0,80.5,Pass,Good
STU_1140,Male,18,Master/Doctorate,9.1,94.9,87.9,Yes,Yes,Yes,Yes,Good,3,0,89.3,Pass,Excellent
STU_1141,Female,18,Some College,3.6,91.4,76.3,Yes,Yes,No,Yes,Fair,6,0,70.4,Pass,Good
STU_1142,Female,18,Some College,4.2,66.6,35.2,No,No,No,No,Good,13,3,31.0,Fail,At Risk
STU_1143,Female,15,High School,10.6,85.7,79.1,No,Yes,Yes,Yes,Excellent,7,0,78.2,Pass,Good
STU_1144,Female,17,Some College,4.9,79.6,65.0,Yes,Yes,No,No,Good,11,1,53.0,Fail,At Risk
STU_1145,Female,17,Bachelor,7.0,68.6,54.2,No,Yes,Yes,No,Excellent,13,2,54.7,Fail,At Risk
STU_1146,Male,15,High School,8.6,91.1,74.4,No,Yes,Yes,Yes,Excellent,5,0,77.1,Pass,Good
STU_1147,Female,16,High School,10.8,95.2,74.9,Yes,Yes,No,No,Fair,2,0,75.1,Pass,Good
STU_1148,Female,18,High School,7.2,80.6,63.1,Yes,Yes,Yes,No,Fair,7,2,56.7,Fail,Satisfactory
STU_1149,Female,16,High School,7.3,89.5,74.0,No,Yes,Yes,No,Excellent,5,0,70.6,Pass,Good
STU_1150,Male,17,High School,23.6,97.7,96.3,Yes,Yes,No,Yes,Good,1,0,97.6,Pass,Excellent
STU_1151,Female,16,Some College,12.9,79.6,74.3,Yes,Yes,No,Yes,Poor,10,1,71.8,Pass,Good
STU_1152,Female,15,Master/Doctorate,6.5,90.8,89.6,Yes,Yes,Yes,Yes,Fair,6,0,92.9,Pass,Excellent
STU_1153,Female,16,Some College,7.3,72.8,77.3,No,Yes,No,Yes,Good,11,0,70.8,Pass,Good
STU_1154,Male,20,High School,19.0,82.9,75.3,Yes,Yes,No,Yes,Excellent,7,0,77.8,Pass,Good
STU_1155,Female,18,None,10.8,76.4,67.8,Yes,Yes,Yes,No,Fair,10,0,71.3,Pass,Good
STU_1156,Male,19,Bachelor,13.8,97.2,93.8,Yes,Yes,No,Yes,Fair,4,0,88.5,Pass,Excellent
STU_1157,Male,17,High School,6.4,57.2,50.0,No,Yes,No,Yes,Excellent,19,1,43.6,Fail,At Risk
STU_1158,Female,16,Bachelor,6.0,75.4,68.6,Yes,Yes,No,Yes,Excellent,10,1,60.3,Pass,Satisfactory
STU_1159,Male,17,Bachelor,16.6,58.1,53.9,No,No,No,No,Good,16,1,54.5,Fail,At Risk
STU_1160,Female,17,Bachelor,7.6,55.8,56.6,No,Yes,No,Yes,Excellent,18,2,49.4,Fail,At Risk
STU_1161,Male,18,High School,7.6,76.6,62.6,Yes,Yes,Yes,Yes,Good,10,0,58.4,Fail,Satisfactory
STU_1162,Male,15,Bachelor,6.2,86.4,81.2,No,Yes,No,Yes,Excellent,5,0,81.6,Pass,Good
STU_1163,Male,17,High School,13.5,78.8,75.1,No,Yes,No,No,Good,8,1,71.0,Pass,Good
STU_1164,Female,16,Master/Doctorate,8.8,74.9,80.5,No,Yes,Yes,Yes,Fair,10,0,79.3,Pass,Good
STU_1165,Male,16,Some College,4.0,91.6,69.2,Yes,Yes,Yes,Yes,Good,5,0,75.4,Pass,Good
STU_1166,Female,18,High School,5.8,90.8,66.1,No,Yes,Yes,No,Good,3,0,66.9,Pass,Satisfactory
STU_1167,Female,17,High School,15.0,94.8,74.2,No,Yes,No,No,Excellent,3,0,73.6,Pass,Good
STU_1168,Female,17,High School,8.9,86.4,76.4,No,Yes,No,No,Good,5,0,71.0,Pass,Good
STU_1169,Male,17,Bachelor,13.6,78.9,79.6,Yes,Yes,Yes,Yes,Excellent,9,1,78.6,Pass,Good
STU_1170,Male,17,High School,9.8,62.2,64.5,No,Yes,No,Yes,Excellent,14,1,55.0,Fail,Satisfactory
STU_1171,Female,18,Some College,4.4,97.5,71.8,Yes,Yes,No,No,Fair,2,0,69.8,Pass,Satisfactory
STU_1172,Female,19,High School,10.4,88.5,82.7,Yes,Yes,No,Yes,Excellent,5,0,76.3,Pass,Good
STU_1173,Female,19,Bachelor,7.7,94.8,73.8,Yes,No,Yes,No,Good,3,0,78.7,Pass,Good
STU_1174,Male,18,Bachelor,5.9,86.7,73.7,No,Yes,No,Yes,Excellent,7,0,72.4,Pass,Good
STU_1175,Female,16,Bachelor,6.2,92.0,71.0,Yes,Yes,Yes,Yes,Good,5,0,70.0,Pass,Good
STU_1176,Male,17,Bachelor,13.4,67.4,57.1,Yes,No,Yes,Yes,Good,16,3,46.2,Fail,At Risk
STU_1177,Female,17,High School,9.1,90.5,74.5,No,Yes,No,Yes,Good,4,0,72.4,Pass,Good
STU_1178,Male,16,High School,8.7,81.7,81.1,Yes,Yes,Yes,Yes,Fair,6,0,81.3,Pass,Good
STU_1179,Female,18,Bachelor,17.5,84.4,85.5,No,Yes,Yes,Yes,Fair,7,0,86.6,Pass,Excellent
STU_1180,Female,15,High School,5.3,90.3,68.8,Yes,No,Yes,No,Good,5,0,65.5,Pass,Satisfactory
STU_1181,Female,19,Some College,7.5,76.6,57.2,Yes,No,Yes,Yes,Excellent,9,1,57.4,Fail,Satisfactory
STU_1182,Male,17,None,5.6,89.5,63.8,No,Yes,Yes,Yes,Good,6,1,61.8,Pass,Satisfactory
STU_1183,Male,17,High School,10.3,72.5,56.9,No,Yes,No,No,Good,10,1,50.0,Fail,At Risk
STU_1184,Female,17,None,8.8,81.2,64.3,Yes,Yes,Yes,Yes,Fair,9,0,61.4,Pass,Satisfactory
STU_1185,Male,19,Bachelor,6.5,67.6,63.0,No,Yes,Yes,Yes,Good,11,1,62.3,Pass,Satisfactory
STU_1186,Male,17,High School,7.0,71.3,66.2,Yes,Yes,Yes,No,Poor,13,1,56.2,Fail,Satisfactory
STU_1187,Male,17,Some College,12.7,76.8,64.8,Yes,Yes,No,Yes,Excellent,8,1,66.0,Pass,Satisfactory
STU_1188,Male,15,None,14.5,94.5,78.3,Yes,Yes,No,No,Excellent,3,0,74.1,Pass,Good
STU_1189,Female,17,Bachelor,5.8,75.5,70.1,Yes,Yes,Yes,No,Good,10,0,64.7,Pass,Satisfactory
STU_1190,Female,16,High School,26.4,72.8,72.8,Yes,Yes,No,No,Poor,13,1,72.7,Pass,Good
STU_1191,Male,18,Master/Doctorate,3.5,87.7,74.7,Yes,Yes,No,Yes,Fair,5,0,71.3,Pass,Good
STU_1192,Male,17,Master/Doctorate,4.3,69.9,69.2,Yes,Yes,Yes,Yes,Good,14,1,61.6,Pass,Satisfactory
STU_1193,Male,17,High School,6.8,68.3,50.6,Yes,No,Yes,Yes,Good,14,2,45.8,Fail,At Risk
STU_1194,Female,15,Master/Doctorate,5.2,91.7,84.9,Yes,Yes,Yes,Yes,Excellent,4,0,82.5,Pass,Good
STU_1195,Female,15,Master/Doctorate,4.8,79.9,72.6,No,Yes,Yes,No,Fair,9,0,69.7,Pass,Satisfactory
STU_1196,Male,18,Bachelor,14.3,93.1,91.1,No,Yes,No,Yes,Excellent,2,0,92.2,Pass,Excellent
STU_1197,Male,15,Bachelor,10.5,70.5,73.3,No,Yes,Yes,Yes,Good,11,0,73.6,Pass,Good
STU_1198,Male,15,High School,8.3,81.2,67.5,Yes,No,No,No,Good,7,1,63.1,Pass,Satisfactory
STU_1199,Male,15,Some College,5.9,80.5,58.0,No,Yes,Yes,Yes,Good,9,3,50.4,Fail,At Risk
STU_1200,Male,19,None,4.4,80.5,52.3,No,Yes,Yes,Yes,Fair,10,1,48.4,Fail,At Risk
STU_1201,Female,18,High School,4.3,88.7,70.2,Yes,Yes,No,Yes,Good,5,0,64.9,Pass,Satisfactory
STU_1202,Female,17,Master/Doctorate,14.2,84.4,84.4,Yes,Yes,No,No,Excellent,6,0,83.6,Pass,Good
STU_1203,Male,16,High School,13.9,98.7,82.8,No,Yes,Yes,Yes,Good,0,0,84.1,Pass,Good
STU_1204,Male,16,Bachelor,6.9,88.5,74.8,No,Yes,No,No,Excellent,5,0,74.5,Pass,Good
STU_1205,Female,18,Bachelor,3.3,87.8,72.4,No,Yes,Yes,Yes,Good,6,0,71.7,Pass,Good
STU_1206,Female,17,Bachelor,11.0,64.5,66.9,No,Yes,Yes,No,Fair,12,2,60.3,Pass,Satisfactory
STU_1207,Male,16,Master/Doctorate,6.9,47.4,51.7,No,Yes,Yes,No,Good,22,1,47.0,Fail,At Risk
STU_1208,Female,16,High School,13.0,88.6,65.7,No,No,Yes,Yes,Good,4,1,74.1,Pass,Good
STU_1209,Female,15,None,4.2,90.2,77.2,Yes,Yes,Yes,Yes,Good,4,0,69.8,Pass,Satisfactory
STU_1210,Male,17,Some College,8.3,85.7,79.7,Yes,No,Yes,Yes,Fair,7,0,78.0,Pass,Good
STU_1211,Male,18,High School,4.0,85.7,58.1,No,Yes,No,No,Good,12,0,54.0,Fail,At Risk
STU_1212,Male,16,None,5.2,89.8,69.4,Yes,Yes,Yes,Yes,Poor,5,0,67.7,Pass,Satisfactory
STU_1213,Female,15,High School,5.2,51.4,49.9,No,Yes,No,Yes,Fair,18,2,35.4,Fail,At Risk
STU_1214,Male,15,Bachelor,6.8,87.8,71.5,No,Yes,Yes,Yes,Good,4,0,76.8,Pass,Good
STU_1215,Female,20,Some College,14.9,80.6,78.0,No,Yes,No,Yes,Good,8,0,72.9,Pass,Good
STU_1216,Female,16,High School,8.5,71.4,69.9,No,Yes,No,Yes,Excellent,12,0,67.8,Pass,Satisfactory
STU_1217,Male,18,Bachelor,11.9,88.6,87.0,Yes,Yes,Yes,Yes,Good,5,0,89.0,Pass,Excellent
STU_1218,Male,17,High School,8.3,85.9,77.1,Yes,Yes,Yes,Yes,Excellent,10,0,81.5,Pass,Good
STU_1219,Male,17,None,6.3,61.4,53.8,Yes,Yes,No,No,Good,16,1,51.6,Fail,At Risk
STU_1220,Male,16,Bachelor,2.1,64.7,56.9,No,Yes,No,Yes,Good,14,1,47.6,Fail,At Risk
STU_1221,Male,16,Some College,4.4,85.1,78.0,No,Yes,Yes,Yes,Fair,8,0,79.0,Pass,Good
STU_1222,Female,17,Bachelor,7.9,81.6,76.4,No,Yes,Yes,No,Excellent,11,0,74.4,Pass,Good
STU_1223,Female,18,None,8.7,76.0,67.4,Yes,Yes,No,No,Good,8,1,61.6,Pass,Satisfactory
STU_1224,Female,17,Bachelor,13.0,71.0,75.9,Yes,Yes,Yes,No,Excellent,12,0,81.3,Pass,Good
STU_1225,Female,17,Some College,2.8,86.9,65.5,No,Yes,No,Yes,Good,7,0,62.1,Pass,Satisfactory
STU_1226,Male,15,Some College,21.6,75.9,85.3,Yes,Yes,Yes,Yes,Fair,9,1,83.3,Pass,Good
